performance_label,hook_style,niche_category,content_format_clean,day_of_week,trending_sound_used,video_duration_seconds,duration_band,post_hour,views,likes,comments,shares,saves_or_favorites,followers_gained,avg_watch_time_seconds,watch_time_percentage_num,total_hashtag_count,engagement_rate_no_saves,engagement_rate_with_saves,like_rate,comment_rate,share_rate,save_rate
Medium,Question,Travel Hacks,text_overlay,Monday,0,11.23,under_15,10,5856,195,42,36,14,0,2.92,22.54,3,0.0466188524590164,0.049009562841530054,0.033299180327868855,0.007172131147540984,0.006147540983606557,0.0023907103825136613
High,Question,Budget Travel,voiceover,Monday,0,38.56,30_45,13,170235,7576,1672,969,448,10,5.16,11.98,4,0.06001703527476723,0.0626486915146709,0.044503186771228005,0.009821717038211884,0.005692131465327341,0.0026316562399036625
Medium,Story,Visa Application Tips,text_overlay,Thursday,0,23.56,15_30,22,71587,3015,568,232,316,5,4.42,24.62,5,0.05329179879028315,0.057706008074091666,0.04211658541355274,0.007934401497478592,0.0032408118792518195,0.004414209283808513
Medium,Statistic,Budget Travel,voiceover,Saturday,0,59.17,45_60,18,108005,3883,331,734,994,5,8.49,12.11,3,0.04581269385676589,0.05501597148280172,0.03595203925744179,0.0030646729318087127,0.006795981667515393,0.009203277626035832
High,Question,Visa Application Tips,voiceover,Friday,0,46.21,45_60,14,106039,5039,796,521,530,4,8.84,21.83,5,0.05994021067720367,0.06493837173115552,0.04752025198276106,0.007506672073482398,0.004913286620960213,0.004998161053951848
High,Question,Visa Application Tips,voiceover,Tuesday,0,38.5,30_45,19,66991,3218,596,662,180,2,5.0,13.78,3,0.06681494529115851,0.06950187338597721,0.04803630338403666,0.00889671746951083,0.009881924437611022,0.002686928094818707
Medium,Question,Travel Hacks,text_overlay,Saturday,0,11.48,under_15,18,29135,1028,255,72,82,3,1.0,4.0,4,0.046507636862879696,0.0493221211601167,0.0352840226531663,0.008752359704822379,0.0024712545048910244,0.002814484297237
High,Story,Visa Application Tips,text_overlay,Thursday,0,40.38,30_45,9,310496,13181,1166,2051,3037,20,7.21,15.28,3,0.052812274554261567,0.06259339894877873,0.04245143254663506,0.003755281871586107,0.0066055601360404,0.009781124394517159
High,Tutorial,Travel Hacks,text_overlay,Tuesday,0,41.83,30_45,15,120393,6097,981,440,1031,10,8.73,22.59,5,0.06244549101691959,0.07100911182543836,0.050642479213907785,0.00814831427076325,0.0036546975322485527,0.008563620808518769
High,Tutorial,Destination Guides,voiceover,Saturday,1,17.93,15_30,10,174314,7104,1708,1203,1566,15,3.5,14.8,5,0.057453790286494485,0.06643757816354395,0.040754041557189896,0.009798409766283833,0.006901338963020756,0.008983787877049463
Medium,Dramatic,Visa Application Tips,text_overlay,Friday,1,41.15,30_45,22,473908,15562,2801,1862,3627,15,6.61,12.87,3,0.042677059682470014,0.05033044388362298,0.03283759717075888,0.005910429872464698,0.003929032639246436,0.007653384201152967
High,Question,Budget Travel,screen_recording,Tuesday,1,28.02,15_30,21,29333,1190,330,188,80,3,4.61,15.55,3,0.05822793440834555,0.060955238127705993,0.04056864282548665,0.011250127842361846,0.006409163740497051,0.0027273037193604474
Medium,Story,Travel Hacks,text_overlay,Friday,1,41.64,30_45,8,62910,2704,562,228,34,1,7.5,20.24,3,0.05553965983150533,0.05608011444921316,0.04298203783182324,0.008933396916229535,0.0036242250834525513,0.0005404546177078366
High,Statistic,Travel Hacks,voiceover,Sunday,0,40.39,30_45,13,57517,2583,243,475,586,2,6.91,19.8,5,0.05739172766312568,0.06758001982022706,0.044908461846062904,0.004224837874019855,0.008258427943042927,0.010188292157101379
High,Statistic,Visa Application Tips,text_overlay,Friday,0,47.32,45_60,12,89267,4142,750,720,56,3,8.39,15.63,4,0.06286757704414846,0.06349490853282848,0.04640012546629774,0.008401761009107509,0.00806569056874321,0.0006273314886800273
High,Statistic,Travel Hacks,voiceover,Friday,1,36.61,30_45,9,79556,3626,792,508,43,8,1.0,4.0,3,0.06191864849917039,0.062459148272914676,0.045577957665040976,0.009955251646638845,0.006385439187490572,0.0005404997737442807
